gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
8,0.483102,0.460341,0.491261,0.440713,0.400213
8,0.483331,0.460913,0.492165,0.441540,0.401102
8,0.483545,0.461318,0.492586,0.442054,0.401514
8,0.483630,0.461658,0.492962,0.442477,0.401875
8,0.483685,0.461907,0.493326,0.442839,0.402133
8,0.483615,0.462074,0.493525,0.443095,0.402327
8,0.483561,0.462139,0.493665,0.443286,0.402435
8,0.483399,0.462197,0.493749,0.443479,0.402527
8,0.483280,0.462289,0.493817,0.443609,0.402568
8,0.483053,0.462305,0.493869,0.443785,0.402699
8,0.482767,0.462343,0.493874,0.443820,0.402736
8,0.482626,0.462402,0.493908,0.443872,0.402700
8,0.482584,0.462405,0.493961,0.443929,0.402757
8,0.482522,0.462550,0.494049,0.443991,0.402731
8,0.482337,0.462545,0.494120,0.444039,0.402764
8,0.482437,0.462488,0.494135,0.444045,0.402764
8,0.482512,0.462541,0.494182,0.444063,0.402780
8,0.482573,0.462572,0.494193,0.444059,0.402741
8,0.482805,0.462585,0.494208,0.444063,0.402774
8,0.482965,0.462538,0.494172,0.444052,0.402786
8,0.482924,0.462519,0.494166,0.444069,0.402862
8,0.482916,0.462488,0.494138,0.444066,0.402838
8,0.482814,0.462479,0.494058,0.444037,0.402853
8,0.482664,0.462510,0.494057,0.444036,0.402883
8,0.482573,0.462521,0.494067,0.444069,0.402967
8,0.482398,0.462541,0.494080,0.444164,0.403092
8,0.482238,0.462583,0.494125,0.444238,0.403157
8,0.482068,0.462675,0.494200,0.444339,0.403254
8,0.481853,0.462701,0.494280,0.444402,0.403317
8,0.481659,0.462682,0.494330,0.444467,0.403334
8,0.481451,0.462700,0.494419,0.444548,0.403403
8,0.481419,0.462730,0.494514,0.444614,0.403430
8,0.481462,0.462773,0.494568,0.444647,0.403355
8,0.481432,0.462786,0.494595,0.444654,0.403280
8,0.481484,0.462821,0.494645,0.444670,0.403237
8,0.481492,0.462846,0.494673,0.444675,0.403166
8,0.481419,0.462827,0.494664,0.444652,0.403154
8,0.481456,0.462810,0.494716,0.444690,0.403156
8,0.481433,0.462819,0.494767,0.444740,0.403173
8,0.481430,0.462844,0.494795,0.444773,0.403146
8,0.481446,0.462843,0.494827,0.444805,0.403142
8,0.481434,0.462848,0.494864,0.444840,0.403156
8,0.481407,0.462840,0.494846,0.444841,0.403172
8,0.481407,0.462836,0.494819,0.444833,0.403177
8,0.481419,0.462817,0.494782,0.444837,0.403158
8,0.481454,0.462820,0.494779,0.444846,0.403201
8,0.481309,0.462813,0.494789,0.444904,0.403302
8,0.481246,0.462794,0.494795,0.444977,0.403452
8,0.481157,0.462752,0.494780,0.445063,0.403633
8,0.480804,0.462686,0.494798,0.445148,0.403731
8,0.480592,0.462645,0.494881,0.445246,0.403962
8,0.480329,0.462756,0.494989,0.445373,0.404200
8,0.480131,0.462794,0.495035,0.445485,0.404410
8,0.480046,0.462822,0.495039,0.445545,0.404515
8,0.479868,0.462847,0.495030,0.445548,0.404592
8,0.479710,0.462931,0.495071,0.445580,0.404652
8,0.479554,0.463015,0.495100,0.445651,0.404675
8,0.479542,0.463049,0.495116,0.445679,0.404745
8,0.479376,0.463091,0.495135,0.445712,0.404763
8,0.479416,0.463137,0.495161,0.445753,0.404776
8,0.479145,0.463055,0.495176,0.445773,0.404842
8,0.478909,0.462989,0.495154,0.445789,0.405005
8,0.478456,0.462934,0.495167,0.445849,0.405516
8,0.478198,0.462943,0.495223,0.445922,0.405764
8,0.477903,0.462926,0.495226,0.445978,0.406094
8,0.477564,0.462901,0.495186,0.445978,0.406165
8,0.477185,0.463011,0.495187,0.445997,0.406165
8,0.476818,0.463203,0.495223,0.446088,0.406283
8,0.476592,0.463527,0.495149,0.446107,0.406343
8,0.476371,0.463780,0.495087,0.446219,0.406569
8,0.476291,0.464193,0.495053,0.446348,0.406872
8,0.475990,0.464314,0.495007,0.446411,0.407019
8,0.475697,0.464255,0.494972,0.446461,0.407259
8,0.475492,0.464175,0.495001,0.446543,0.407557
8,0.475189,0.464154,0.495054,0.446643,0.407971
8,0.475155,0.464246,0.495160,0.446770,0.408273
8,0.474700,0.464142,0.495310,0.446999,0.408793
8,0.474245,0.464337,0.495465,0.447220,0.409391
8,0.473621,0.464431,0.495594,0.447419,0.409687
8,0.473465,0.464494,0.495616,0.447479,0.409823
8,0.473162,0.464648,0.495656,0.447492,0.409984
8,0.472692,0.464900,0.495740,0.447546,0.410245
8,0.472278,0.465230,0.495879,0.447695,0.410437
8,0.472115,0.465345,0.495957,0.447786,0.410320
8,0.471905,0.465596,0.496144,0.447981,0.410557
8,0.471816,0.465864,0.496272,0.448161,0.410978
8,0.471655,0.465946,0.496324,0.448309,0.411298
8,0.471279,0.466011,0.496433,0.448542,0.411485
8,0.470827,0.466051,0.496354,0.448527,0.411709
8,0.470201,0.466076,0.496281,0.448447,0.411675
8,0.469915,0.466122,0.496340,0.448554,0.411754
8,0.469793,0.466207,0.496381,0.448672,0.411873
8,0.469485,0.466530,0.496355,0.448758,0.411984
8,0.469187,0.466675,0.496375,0.448957,0.411929
8,0.469026,0.466796,0.496335,0.449034,0.411952
8,0.469172,0.467149,0.496154,0.448773,0.411793
8,0.469042,0.467381,0.496225,0.448872,0.412130
8,0.468878,0.467747,0.496257,0.449027,0.412755
8,0.468432,0.468081,0.496422,0.449115,0.413095
8,0.467911,0.468397,0.496601,0.449160,0.413918
8,0.467352,0.468784,0.496631,0.449088,0.414741
8,0.467411,0.469043,0.496544,0.448867,0.415252
8,0.467316,0.469296,0.496515,0.448835,0.415838
8,0.467199,0.469556,0.496596,0.448936,0.416324
8,0.466985,0.469745,0.496668,0.449052,0.416789
8,0.467044,0.469880,0.496704,0.449108,0.416934
8,0.467082,0.470033,0.496744,0.449158,0.416966
8,0.466910,0.470219,0.496815,0.449352,0.417337
8,0.466846,0.470468,0.496854,0.449481,0.417289
8,0.466732,0.470738,0.496865,0.449551,0.417555
8,0.466469,0.471125,0.496739,0.449494,0.418388
8,0.466346,0.471423,0.496602,0.449448,0.419481
8,0.465761,0.471616,0.496508,0.449506,0.420522
8,0.465066,0.471715,0.496366,0.449612,0.421693
8,0.464327,0.471896,0.496287,0.449565,0.422167
8,0.464039,0.472002,0.496198,0.449630,0.422894
8,0.463434,0.472524,0.496255,0.449824,0.423458
8,0.462671,0.473000,0.496366,0.449961,0.423961
8,0.462426,0.473410,0.496463,0.450299,0.424832
8,0.461800,0.473873,0.496593,0.450769,0.426436
8,0.461334,0.474524,0.496764,0.451410,0.428234
8,0.460702,0.474605,0.496748,0.451959,0.429709
8,0.460385,0.474744,0.496589,0.452436,0.430935
8,0.459942,0.474956,0.496300,0.452983,0.432079
8,0.459047,0.475408,0.496028,0.453700,0.433366
8,0.458016,0.475695,0.495838,0.454422,0.434398
8,0.457271,0.475994,0.495712,0.455203,0.435325
8,0.456805,0.476562,0.495737,0.455899,0.436359
8,0.456733,0.476671,0.495666,0.456326,0.436846
8,0.456609,0.476945,0.495681,0.456731,0.437255
8,0.456917,0.476688,0.495529,0.456939,0.437372
8,0.457112,0.476662,0.495417,0.457150,0.437626
8,0.457669,0.476454,0.495397,0.457358,0.437601
8,0.458299,0.476535,0.495344,0.457470,0.437528
8,0.458831,0.476200,0.495214,0.457474,0.437459
8,0.459286,0.476176,0.495037,0.457371,0.437274
8,0.459670,0.475959,0.494901,0.457333,0.437075
8,0.460037,0.475966,0.494751,0.457249,0.436757
8,0.460283,0.476018,0.494646,0.457197,0.436777
8,0.460458,0.475968,0.494514,0.457078,0.436813
8,0.460765,0.476050,0.494408,0.456982,0.436904
8,0.460911,0.476331,0.494310,0.456909,0.437135
8,0.461209,0.476363,0.494140,0.456652,0.436986
